PaymentId,PaymentType,CardNumber,AmountCharged,OrderHeader_OrderNumber
165,CreditCard,5319420637193003,6063,165
166,CreditCard,5385393434425541,4622,166
167,CreditCard,9966912784484203,10948,167
168,CreditCard,4971494145293027,8324,168
169,CreditCard,4598681947723251,8222,169
170,CreditCard,6320399429214586,2788,170
171,CreditCard,4672447419014213,5540,171
172,CreditCard,9668118212305218,654,172
173,CreditCard,5062623966480453,8712,173
174,CreditCard,6655682373948749,7994,174
175,CreditCard,5649028928263379,9923,175
176,CreditCard,7395882942830953,5673,176
177,CreditCard,5112896961139159,5538,177
178,CreditCard,7035405771115482,764,178
179,CreditCard,8584414255556345,1446,179
180,CreditCard,7714319244878915,3880,180
181,CreditCard,5290166703658031,460,181
182,CreditCard,8146877700304839,8403,182
183,CreditCard,6988865753163065,1248,183
184,CreditCard,5297264693713797,5862,184
185,CreditCard,9671925991539676,7521,185
186,CreditCard,5695501123647034,8598,186
187,CreditCard,7330690111560766,7865,187
188,CreditCard,5207884337218205,3241,188
189,CreditCard,7150169182355573,12161,189
190,CreditCard,6739766728938359,8410,190
191,CreditCard,7731029344247241,4762,191
192,CreditCard,9031832387082874,9134,192
193,CreditCard,4599191545846414,1616,193
194,CreditCard,9128562110274871,5266,194
195,CreditCard,6806820249031063,6996,195
196,CreditCard,8946340349133005,7954,196
197,CreditCard,6286009677366281,5166,197
198,CreditCard,4597133045059247,15750,198
199,CreditCard,4756354490109756,4860,199
200,CreditCard,5767977768350950,1116,200
201,CreditCard,6478103009373563,7527,201
202,CreditCard,4987297554558019,4966,202
203,CreditCard,5584459430186444,2786,203
204,CreditCard,9807554891396157,2392,204
205,CreditCard,4833741589293148,310,205
206,CreditCard,7148685761999543,1635,206
207,CreditCard,6246634073798448,1329,207
208,CreditCard,8862366125102874,6549,208
209,CreditCard,4502253780065469,6230,209
210,CreditCard,7526111764544664,5484,210
211,CreditCard,7486186327833467,8184,211
212,CreditCard,8275338976437560,2604,212
213,CreditCard,7745159013345854,5285,213
214,CreditCard,6086242446768362,948,214
215,CreditCard,8298021516988500,5037,215
216,CreditCard,5812759735141879,6691,216
217,CreditCard,6540606820398453,4101,217
218,CreditCard,4610415881574975,5786,218
219,CreditCard,8513222077841257,11903,219
220,CreditCard,4666119278163748,7339,220
221,CreditCard,4505466460934465,210,221
222,CreditCard,8118462768747031,4136,222
223,CreditCard,8476384786023007,3411,223
224,CreditCard,4905698931808769,1810,224
225,CreditCard,7410240903012799,2244,225
226,CreditCard,4559413748414525,5234,226
227,CreditCard,6361580015316307,10852,227
228,CreditCard,8746475902702944,6948,228
229,CreditCard,7825619105085776,4791,229
230,CreditCard,8471074273839753,9278,230
231,CreditCard,7701264211940797,4430,231
232,CreditCard,5946084077259900,7555,232
233,CreditCard,6458989889403875,8346,233
234,CreditCard,9818413991663784,6190,234
235,CreditCard,8882322664952583,10260,235
236,CreditCard,5788095010000496,6171,236
237,CreditCard,6039195340249858,8988,237
238,CreditCard,5929776170539064,7039,238
239,CreditCard,8229002999772578,8065,239
240,CreditCard,5718629924102379,6298,240
241,CreditCard,7079882965912687,10384,241
242,CreditCard,8307963297199848,2226,242
243,CreditCard,8986462916841977,9414,243
244,CreditCard,9588664489235613,9241,244
245,CreditCard,8504630741206300,7838,245
246,CreditCard,7722831496356493,1932,246
247,CreditCard,4527965921171264,904,247
248,CreditCard,7495174586904853,2667,248
249,CreditCard,8175001075220383,425,249
250,CreditCard,7917860808915367,10165,250
251,CreditCard,8356729649438337,4652,251
252,CreditCard,4645378208552903,542,252
253,CreditCard,7487401903104301,6002,253
254,CreditCard,5689235479808373,7476,254
255,CreditCard,7414200669849104,13484,255
256,CreditCard,9372690417483123,2969,256
257,CreditCard,5487347218201801,6060,257
258,CreditCard,6343213981952477,6213,258
259,CreditCard,6123815708035081,3420,259
260,CreditCard,4798993660620359,6518,260
261,CreditCard,8524278512481515,3744,261
262,CreditCard,8854343184752589,6520,262
263,CreditCard,4801261254900356,6880,263
264,CreditCard,8148896288702810,6826,264
265,CreditCard,9679373080553547,892,265
266,CreditCard,6996571520715115,4630,266
267,CreditCard,5127841247967222,14416,267
268,CreditCard,7965110738157439,840,268
269,CreditCard,9287903306207300,6013,269
270,CreditCard,7712357817747022,2787,270
271,CreditCard,9601790000593156,1776,271
272,CreditCard,9832760861909064,5649,272
273,CreditCard,7422733878224093,4419,273
274,CreditCard,7268348821876203,8527,274
275,CreditCard,4790777541517197,975,275
276,CreditCard,4630198072738393,1869,276
277,CreditCard,9945232100895277,13598,277
278,CreditCard,6488586822550719,8633,278
279,CreditCard,6942432808652328,3768,279
280,CreditCard,9686325657518074,3254,280
281,CreditCard,9361814423357334,1250,281
282,CreditCard,5784175261878515,12723,282
283,CreditCard,4511618937745778,12748,283
284,CreditCard,5072099330048157,4271,284
285,CreditCard,5034070885446262,8355,285
286,CreditCard,6638115825151844,10519,286
287,CreditCard,9923531118571755,284,287
288,CreditCard,8355128647379616,4025,288
289,CreditCard,5101053422030961,13560,289
290,CreditCard,8731198879187738,2898,290
291,CreditCard,6462408188440357,8150,291
292,CreditCard,6853610788299848,5271,292
293,CreditCard,7657518306204073,6072,293
294,CreditCard,6731479589689062,577,294
295,CreditCard,5491149118413779,8500,295
296,CreditCard,5548367338813367,5448,296
297,CreditCard,6608688787841030,5869,297
298,CreditCard,9855174873351233,6496,298
299,CreditCard,7629345216451331,2512,299
300,CreditCard,7230633353906446,11601,300
301,CreditCard,5526855419133990,5786,301
302,CreditCard,7467846487404109,10560,302
303,CreditCard,9018669506806149,2396,303
304,CreditCard,7448194010757788,11120,304
305,CreditCard,4656048320485908,7788,305
306,CreditCard,9480606974499808,8711,306
307,CreditCard,6827423367591543,7310,307
308,CreditCard,6405082787480449,8842,308
309,CreditCard,7699668581405359,9024,309
310,CreditCard,7192135715265826,6809,310
311,CreditCard,5910821337482628,5975,311
312,CreditCard,6251100838640937,8622,312
313,CreditCard,4479234495891091,5005,313
314,CreditCard,6385314920651334,5212,314
315,CreditCard,9963280601002516,8731,315
316,CreditCard,5853524744078581,4596,316
317,CreditCard,5003264553434822,10172,317
318,CreditCard,8371368100982128,930,318
319,CreditCard,5564312570930912,8112,319
320,CreditCard,8738131382024946,2354,320
321,CreditCard,8303421868784244,3817,321
322,CreditCard,7879199178804454,1974,322
323,CreditCard,6065563009311453,8436,323
324,CreditCard,6006351547897819,10746,324
325,CreditCard,6390512896611644,1165,325
326,CreditCard,7648220254564795,4075,326
327,CreditCard,8105882023967747,2412,327
328,CreditCard,6506202222665729,4323,328
329,CreditCard,6906125250089452,1977,329
330,CreditCard,5017795465010131,419,330
331,CreditCard,6140259029854689,5649,331
332,CreditCard,6812465176093510,6018,332
333,CreditCard,7032340931721639,4160,333
334,CreditCard,7332845103098932,9111,334
335,CreditCard,6554759786277735,8943,335
336,CreditCard,9863821540613739,6300,336
337,CreditCard,4600419876345351,3838,337
338,CreditCard,4689121733126360,4631,338
339,CreditCard,5807879206026760,5583,339
340,CreditCard,5745685966049645,840,340
341,CreditCard,6070454502309153,4178,341
342,CreditCard,8165246405743097,2030,342
343,CreditCard,4590619163876841,2290,343
344,CreditCard,6956886609636481,4060,344
345,CreditCard,6875751115079131,9094,345
346,CreditCard,9715714817322156,3660,346
347,CreditCard,7161195857863767,2925,347
348,CreditCard,8366841906884381,8224,348
349,CreditCard,6007229720546476,2342,349
350,CreditCard,9026070068815662,7265,350
351,CreditCard,8274323171968758,9135,351
352,CreditCard,8102640069300409,8653,352
353,CreditCard,5342439182376411,9106,353
354,CreditCard,4994032709613669,6448,354
355,CreditCard,9063903448858840,6358,355
356,CreditCard,7099981608984022,9547,356
357,CreditCard,9372729666199602,2056,357
358,CreditCard,8383832049435757,13757,358
359,CreditCard,5168029708951855,8133,359
360,CreditCard,8053891516911420,365,360
361,CreditCard,5509281771777285,7301,361
362,CreditCard,7592092758163618,4174,362
363,CreditCard,4489652576619938,4377,363
364,CreditCard,8893306794754672,8289,364
365,CreditCard,7756639049642944,8682,365
366,CreditCard,9761331932889808,5643,366
367,CreditCard,7908290456416571,5733,367
368,CreditCard,8583687536377606,816,368
369,CreditCard,9037660652235996,9254,369
370,CreditCard,5697193283031390,8013,370
371,CreditCard,5084230266392511,2664,371
372,CreditCard,9842258807009622,2276,372
373,CreditCard,5151762152000373,1644,373
374,CreditCard,8004512973159340,7419,374
375,CreditCard,9769021727733449,4355,375
376,CreditCard,7696947423564743,1251,376
377,CreditCard,7771678429203690,3838,377
378,CreditCard,8022772107990423,6297,378
379,CreditCard,6775525375910987,8139,379
380,CreditCard,4851604163499183,5388,380
381,CreditCard,5798266891778910,7387,381
382,CreditCard,9410121228416986,1945,382
383,CreditCard,6122554038213904,3942,383
384,CreditCard,4932474696445646,2395,384
385,CreditCard,6645598854921679,7849,385
386,CreditCard,5068701624212194,1610,386
387,CreditCard,7531535388351981,10011,387
388,CreditCard,7955056485831371,2873,388
389,CreditCard,7827499686774832,10398,389
390,CreditCard,5367346061869753,325,390
391,CreditCard,6799286615173066,245,391
392,CreditCard,8788944683799518,4660,392
393,CreditCard,4787937436021597,3300,393
394,CreditCard,6582534000072487,5275,394
395,CreditCard,9461616994963765,7443,395
396,CreditCard,6153695588838346,7156,396
397,CreditCard,8582718135126553,3368,397
398,CreditCard,8991883690350561,6015,398
399,CreditCard,6323671406059297,6815,399
400,CreditCard,8273262345815387,11435,400
401,CreditCard,6636429784115527,7332,401
402,CreditCard,5244213886720057,13577,402
403,CreditCard,7365741567660628,10822,403
404,CreditCard,6427594467331734,1756,404
405,CreditCard,8054125580361138,1185,405
406,CreditCard,8997893893110349,9208,406
407,CreditCard,4567668273358438,5662,407
408,CreditCard,8736130630144659,3066,408
409,CreditCard,5274788159320424,6638,409
410,CreditCard,9673773782687616,3720,410
411,CreditCard,8973721163284123,9810,411
412,CreditCard,8373770717137538,8185,412
413,CreditCard,4703233256453819,3942,413
414,CreditCard,9647772651025255,13382,414
415,CreditCard,9682656865929931,6365,415
416,CreditCard,9067514011489989,8489,416
417,CreditCard,6043713728998722,2967,417
418,CreditCard,5765776843781066,6862,418
419,CreditCard,6255933072431807,6285,419
420,CreditCard,6451209074168708,7787,420
421,CreditCard,9650784448426121,10890,421
422,CreditCard,7517149454260661,8422,422
423,CreditCard,7971441795783115,9054,423
424,CreditCard,6554608506213349,2869,424
425,CreditCard,5827804015866184,7085,425
426,CreditCard,5791209041094040,8390,426
427,CreditCard,8928112307868838,7003,427
428,CreditCard,5782102485435665,5106,428
429,CreditCard,8614202976313561,8584,429
430,CreditCard,9482315381084499,11727,430
431,CreditCard,5226794235057717,8154,431
432,CreditCard,5344719487883198,14445,432
433,CreditCard,8309248725747959,10703,433
434,CreditCard,5375157685394921,2342,434
435,CreditCard,6550271463813496,9417,435
436,CreditCard,6119189943531332,9372,436
437,CreditCard,9865885983698531,4406,437
438,CreditCard,7906432175171220,6728,438
439,CreditCard,7797902397723517,2232,439
440,CreditCard,6760649156589689,3654,440
441,CreditCard,4767634469129861,3888,441
442,CreditCard,6737689814723900,1640,442
443,CreditCard,6960062832580595,5348,443
444,CreditCard,6700767573610649,2398,444
445,CreditCard,8620402467858544,6939,445
446,CreditCard,5409548876389117,6654,446
447,CreditCard,9574092764894298,9985,447
448,CreditCard,7973218843699786,8175,448
449,CreditCard,7897583756358892,7077,449
450,CreditCard,8492661385813877,13609,450
451,CreditCard,7187370032218188,7420,451
452,CreditCard,5261522653101764,1932,452
453,CreditCard,9872635587487022,4804,453
454,CreditCard,7218843614032617,1596,454
455,CreditCard,9499870367475633,4860,455
456,CreditCard,9295222943453755,7349,456
457,CreditCard,9561836886366082,5531,457
458,CreditCard,4979373100690476,2998,458
459,CreditCard,7020504057279703,4707,459
460,CreditCard,4620737072026636,13448,460
461,CreditCard,6971080456853287,10796,461
462,CreditCard,7091700425068067,5613,462
463,CreditCard,5720289918819555,6095,463
464,CreditCard,5906326800790168,7659,464
465,CreditCard,5939918358616416,6959,465
466,CreditCard,4804539697664963,10473,466
467,CreditCard,7126500769587999,4914,467
468,CreditCard,7184302662892657,3582,468
469,CreditCard,5130212282896221,1364,469
470,CreditCard,9116960810815413,6284,470
471,CreditCard,6082137204819671,3861,471
472,CreditCard,8793863288200470,3600,472
473,CreditCard,4817423945788951,1566,473
474,CreditCard,7050836909992387,7250,474
475,CreditCard,7250996373753269,804,475
476,CreditCard,6272506938381992,6442,476
477,CreditCard,6739921268139394,9745,477
478,CreditCard,5224788445260990,7028,478
479,CreditCard,8645809085103672,5373,479
480,CreditCard,4829088159634755,4140,480
481,CreditCard,8991295173068671,4788,481
482,CreditCard,6784176746013163,13055,482
483,CreditCard,6704351085392664,4144,483
484,CreditCard,9431269188191352,6352,484
485,CreditCard,8223393118689132,3668,485
486,CreditCard,9176852876010772,1821,486
487,CreditCard,4766756109677344,7726,487
488,CreditCard,7270827026818852,1175,488
489,CreditCard,8028896149924038,2445,489
490,CreditCard,8976025835548978,9966,490
491,CreditCard,5292374126293775,5637,491
492,CreditCard,6487808156576342,4052,492
493,CreditCard,4512028717945020,1401,493
494,CreditCard,8136701794831188,8246,494
495,CreditCard,4501420498153556,3231,495
496,CreditCard,8662473151349895,751,496
497,CreditCard,6451643143825643,6103,497
498,CreditCard,5730750811003210,8467,498
499,CreditCard,9986252450104006,9047,499
500,CreditCard,5888954272305091,12104,500
501,CreditCard,6762559191025766,9627,501
502,CreditCard,8254363021494429,9060,502
503,CreditCard,5468841691210327,7636,503
504,CreditCard,6536779587943875,5579,504
505,CreditCard,5562579262132327,3344,505
506,CreditCard,6408841835924700,5369,506
507,CreditCard,7757428142181354,3916,507
508,CreditCard,8742848314922869,7462,508
509,CreditCard,9545846868883528,4094,509
510,CreditCard,5977331267213060,1080,510
511,CreditCard,5813762366860285,3294,511
512,CreditCard,6853037344163155,1630,512
513,CreditCard,8977416660335027,9216,513
514,CreditCard,8071372775411873,7324,514
515,CreditCard,5323056287043202,1540,515
516,CreditCard,6217779228243379,2504,516
517,CreditCard,7874800092734757,5945,517
518,CreditCard,7524248208272254,10689,518
519,CreditCard,7966261116525284,2292,519
520,CreditCard,9239025819622665,9884,520
521,CreditCard,7660968373222118,7594,521
522,CreditCard,6387112958707232,7239,522
523,CreditCard,7886778330806321,4910,523
524,CreditCard,9969504341752195,7220,524
525,CreditCard,7494136646846567,6060,525
526,CreditCard,5981196439823415,8847,526
527,CreditCard,7088827911909900,4664,527
528,CreditCard,6878190179950023,2916,528
529,CreditCard,9437850915893297,2634,529
530,CreditCard,5773178786830764,6303,530
531,CreditCard,6271057488998677,10073,531
532,CreditCard,8828071765717886,10978,532
533,CreditCard,6866311597155876,7461,533
534,CreditCard,8515220119303759,7062,534
535,CreditCard,5335753109768528,2480,535
536,CreditCard,5769784161873957,3301,536
537,CreditCard,6994071094661907,11852,537
538,CreditCard,8658388288947773,7595,538
539,CreditCard,7978983714378070,11725,539
540,CreditCard,4449936288013594,7326,540
541,CreditCard,8097681204212679,6966,541
542,CreditCard,7810186479912873,4818,542
543,CreditCard,5801396220095248,3142,543
544,CreditCard,8725735822018125,4440,544
545,CreditCard,5146828786799403,5436,545
546,CreditCard,9833292759149846,5275,546
547,CreditCard,9540549013347124,6146,547
548,CreditCard,7681345631688392,10300,548
549,CreditCard,5002433956607598,4240,549
550,CreditCard,9025169251556428,8526,550
551,CreditCard,4920142997892152,8832,551
552,CreditCard,9460484417772270,5313,552
553,CreditCard,5945762048078091,8838,553
554,CreditCard,9281814641483622,2626,554
555,CreditCard,9395782619958237,3703,555
556,CreditCard,7991608727779339,7361,556
557,CreditCard,9784583983835316,8622,557
558,CreditCard,7306297239325289,1849,558
559,CreditCard,7788529460105737,8891,559
560,CreditCard,7300191686353723,3220,560
561,CreditCard,8111360132650493,1878,561
562,CreditCard,7431430606766900,6650,562
563,CreditCard,4993937922145497,9770,563
564,CreditCard,6800905261652616,4680,564
565,CreditCard,9965333774235277,7128,565
566,CreditCard,4858221948201071,9600,566
567,CreditCard,9657092743949548,3858,567
568,CreditCard,7376587034919230,7832,568
569,CreditCard,5501314151752620,1078,569
570,CreditCard,4861649278262598,7118,570
571,CreditCard,6016748694608454,7074,571
572,CreditCard,5660865443939550,4873,572
573,CreditCard,9102962622488162,6570,573
574,CreditCard,9529062275565172,4311,574
575,CreditCard,7557216708373280,4660,575
576,CreditCard,5766736001718410,10325,576
577,CreditCard,9655569555477866,15176,577
578,CreditCard,9742518527426181,9766,578
579,CreditCard,6121310950717547,5555,579
580,CreditCard,9900239737421748,6860,580
581,CreditCard,5227821440532481,5922,581
582,CreditCard,5863652500783327,987,582
583,CreditCard,4573811620062923,1392,583
584,CreditCard,6555085150580163,9450,584
585,CreditCard,5800854158521138,1860,585
586,CreditCard,7282190049355593,7980,586
587,CreditCard,5792802481508804,4315,587
588,CreditCard,9666516692523260,10146,588
589,CreditCard,9207001496949487,8132,589
590,CreditCard,5370540164526539,2022,590
591,CreditCard,4849543284706760,2896,591
592,CreditCard,5036739517726676,6718,592
593,CreditCard,5474246845924490,3230,593
594,CreditCard,8217355201277299,2734,594
595,CreditCard,6671691112564938,2378,595
596,CreditCard,5855770032888510,9721,596
597,CreditCard,8684851582032007,6043,597
598,CreditCard,7587673593146974,6255,598
599,CreditCard,8394470726190972,3742,599
600,CreditCard,5973078485913660,5176,600
601,CreditCard,7488997451232621,814,601
602,CreditCard,5098307108330585,6659,602
603,CreditCard,4826505830048573,8305,603
604,CreditCard,8475377434927138,5718,604
605,CreditCard,6916308863985909,3352,605
606,CreditCard,5323005964604363,6268,606
607,CreditCard,4447347911753398,12086,607
608,CreditCard,7057260302860303,4070,608
609,CreditCard,8560176377149396,7826,609
610,CreditCard,6909721358345131,3015,610
611,CreditCard,8278674584562352,852,611
612,CreditCard,7920647287347523,6550,612
613,CreditCard,5159032248368011,7083,613
614,CreditCard,5452052621665865,8582,614
615,CreditCard,9077565941408072,1932,615
616,CreditCard,6463450450352379,2034,616
617,CreditCard,7215155296413879,6436,617
618,CreditCard,8532409161209140,7584,618
619,CreditCard,8423251348304259,1845,619
620,CreditCard,8432386455331623,12996,620
621,CreditCard,5698126683857049,6484,621
622,CreditCard,5736367772958009,7046,622
623,CreditCard,8227101638661244,8513,623
624,CreditCard,8343778006042656,2410,624
625,CreditCard,5487753737646143,12077,625
626,CreditCard,7151981666839205,9234,626
627,CreditCard,9227181146242189,8528,627
628,CreditCard,7764055010523869,1356,628
629,CreditCard,7562343625978315,4864,629
630,CreditCard,5447766204170388,2886,630
631,CreditCard,8257731169177308,3893,631
632,CreditCard,5272169287218146,714,632
633,CreditCard,8430306830019225,9768,633
634,CreditCard,7972410248971366,3432,634
635,CreditCard,9713654663427802,1113,635
636,CreditCard,6222468536598258,8311,636
637,CreditCard,9169276270342560,13095,637
638,CreditCard,5907452092461385,6750,638
639,CreditCard,8688042458453942,1555,639
640,CreditCard,7994263855253542,10961,640
641,CreditCard,6398143237266011,1815,641
642,CreditCard,5442894930969688,5372,642
643,CreditCard,9296177544449546,6046,643
644,CreditCard,8404169685617080,2040,644
645,CreditCard,7928944638595784,9964,645
646,CreditCard,4899138393071583,7659,646
647,CreditCard,9995060228834577,7693,647
648,CreditCard,7192327635091204,5910,648
649,CreditCard,7394192393483218,6508,649
650,CreditCard,4655117507458028,4144,650
651,CreditCard,8037894412383693,702,651
652,CreditCard,4877533644281381,1566,652
653,CreditCard,7910389380282697,4167,653
654,CreditCard,6278599339933474,5106,654
655,CreditCard,6449903171622633,1560,655
656,CreditCard,8198148946004645,352,656
657,CreditCard,8589226222617941,3897,657
658,CreditCard,6100362091284867,2943,658
659,CreditCard,7641884974056345,6355,659
660,CreditCard,7639864242673328,1368,660
661,CreditCard,9607464856670721,6619,661
662,CreditCard,8345398590827910,6666,662
663,CreditCard,6499870856073365,3641,663
664,CreditCard,9761342869305762,1590,664
665,CreditCard,8183947787489192,8573,665
666,CreditCard,7432680973018696,1496,666
667,CreditCard,9058012093414859,3152,667
668,CreditCard,8668176189276014,6577,668
669,CreditCard,9652986939919431,8348,669
670,CreditCard,9611525136322782,5324,670
671,CreditCard,9475149210362872,5977,671
672,CreditCard,6381628079421387,8808,672
673,CreditCard,9908504720825582,3808,673
674,CreditCard,5145100578084847,13617,674
675,CreditCard,9269738751231495,2349,675
676,CreditCard,8695603507135601,4192,676
677,CreditCard,9835817152227533,6586,677
678,CreditCard,6640102470939238,11595,678
679,CreditCard,4699357429064943,8911,679
680,CreditCard,9426510921184184,6992,680
681,CreditCard,7326280748733914,7213,681
682,CreditCard,4955637793960550,4106,682
683,CreditCard,6641642898069126,10253,683
684,CreditCard,8788838910153416,9057,684
685,CreditCard,4967669013383545,7890,685
686,CreditCard,7685020390455339,1011,686
687,CreditCard,5500756201987712,13046,687
688,CreditCard,6695673891040371,8926,688
689,CreditCard,7895861931182567,3675,689
690,CreditCard,9783546459795431,10092,690
691,CreditCard,8330877405204749,7075,691
692,CreditCard,7798351296541437,852,692
693,CreditCard,7193735268275291,6141,693
694,CreditCard,5774894064504364,2736,694
695,CreditCard,5148875009635973,11308,695
696,CreditCard,9874101059365269,11656,696
697,CreditCard,9181072130292243,8964,697
698,CreditCard,6707238642488103,932,698
